manufacturer,model,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Volkswagen,Golf,e-Golf,85,25.10.2018,77732,32.0,7.3,Electricity,Summer tires,1,1,1,Moderate,13.9,0,1,22.0,-2.9000000000000004,
Volkswagen,Golf,e-Golf,85,25.10.2018,77700,102.0,9.55,Electricity,Summer tires,0,1,0,Moderate,13.8,0,1,64.0,-3.0,
Volkswagen,Golf,e-Golf,85,24.10.2018,77598,71.0,14.13,Electricity,Summer tires,0,1,0,Moderate,13.9,0,1,75.0,-2.9000000000000004,
Volkswagen,Golf,e-Golf,85,24.10.2018,77527,72.0,9.58,Electricity,Summer tires,0,1,0,Moderate,13.8,0,1,66.0,-3.0,
Volkswagen,Golf,e-Golf,85,24.10.2018,77455,34.0,9.49,Electricity,Summer tires,0,1,0,Moderate,15.7,0,1,64.0,-1.1000000000000014,
Volkswagen,Golf,e-Golf,85,23.10.2018,77421,75.0,3.76,Electricity,Summer tires,0,1,0,Normal,14.1,0,1,52.0,-2.700000000000001,
Volkswagen,Golf,e-Golf,85,23.10.2018,77346,13.0,4.9,Electricity,Summer tires,1,0,0,Normal,14.3,0,1,36.0,-2.5,
Volkswagen,Golf,e-Golf,85,23.10.2018,77333,73.0,10.06,Electricity,Summer tires,0,1,0,Normal,15.5,0,1,61.0,-1.3000000000000007,
Volkswagen,Golf,e-Golf,85,23.10.2018,77260,35.0,5.59,Electricity,Summer tires,0,1,0,Normal,14.6,0,1,59.0,-2.200000000000001,
Volkswagen,Golf,e-Golf,85,22.10.2018,77225,72.0,11.34,Electricity,Summer tires,0,1,0,Normal,15.5,0,0,70.0,-1.3000000000000007,
Volkswagen,Golf,e-Golf,85,22.10.2018,77153,89.0,8.95,Electricity,Summer tires,0,1,1,Normal,13.8,0,1,47.0,-3.0,
Volkswagen,Golf,e-Golf,85,21.10.2018,77064,32.0,4.38,Electricity,Summer tires,0,1,0,Normal,14.3,0,0,46.0,-2.5,
Volkswagen,Golf,e-Golf,85,19.10.2018,77032,72.0,7.48,Electricity,Summer tires,0,1,0,Normal,13.0,0,0,61.0,-3.8000000000000007,
Volkswagen,Golf,e-Golf,85,19.10.2018,76960,72.0,8.67,Electricity,Summer tires,0,1,0,Normal,14.4,0,1,75.0,-2.4000000000000004,
Volkswagen,Golf,e-Golf,85,19.10.2018,76888,86.0,10.08,Electricity,Summer tires,0,1,1,Normal,14.7,0,1,59.0,-2.1000000000000014,
Volkswagen,Golf,e-Golf,85,18.10.2018,76802,111.0,13.44,Electricity,Summer tires,0,1,0,Normal,13.4,0,0,64.0,-3.4000000000000004,
Volkswagen,Golf,e-Golf,85,18.10.2018,76691,103.0,14.22,Electricity,Summer tires,0,1,0,Normal,12.5,0,0,68.0,-4.300000000000001,
Volkswagen,Golf,e-Golf,85,17.10.2018,76588,72.0,14.19,Electricity,Summer tires,0,1,0,Normal,13.3,0,0,76.0,-3.5,
Volkswagen,Golf,e-Golf,85,17.10.2018,76516,103.0,9.66,Electricity,Summer tires,0,1,0,Moderate,12.5,0,1,65.0,-4.300000000000001,
Volkswagen,Golf,e-Golf,85,16.10.2018,76413,73.0,12.72,Electricity,Summer tires,0,1,0,Normal,13.6,0,0,82.0,-3.200000000000001,
Volkswagen,Golf,e-Golf,85,16.10.2018,76340,100.0,10.17,Electricity,Summer tires,0,1,0,Normal,13.9,0,1,74.0,-2.9000000000000004,
Volkswagen,Golf,e-Golf,85,15.10.2018,76240,72.0,13.22,Electricity,Summer tires,0,1,0,Normal,12.9,0,0,83.0,-3.9000000000000004,
Volkswagen,Golf,e-Golf,85,15.10.2018,76168,72.0,10.33,Electricity,Summer tires,0,1,0,Normal,13.5,0,1,56.0,-3.3000000000000007,
Volkswagen,Golf,e-Golf,85,15.10.2018,76096,104.0,9.54,Electricity,Summer tires,0,1,0,Normal,13.4,0,1,79.0,-3.4000000000000004,
Volkswagen,Golf,e-Golf,85,14.10.2018,75992,98.0,12.78,Electricity,Summer tires,0,1,0,Normal,13.4,0,0,74.0,-3.4000000000000004,
Volkswagen,Golf,e-Golf,85,13.10.2018,75894,19.0,11.16,Electricity,Summer tires,0,1,0,Normal,14.2,0,0,56.0,-2.6000000000000014,
Volkswagen,Golf,e-Golf,85,12.10.2018,75875,71.0,5.12,Electricity,Summer tires,0,1,0,Normal,12.7,0,0,67.0,-4.100000000000001,
Volkswagen,Golf,e-Golf,85,12.10.2018,75804,100.0,10.51,Electricity,Summer tires,0,1,0,Normal,13.1,0,1,79.0,-3.700000000000001,
Volkswagen,Golf,e-Golf,85,11.10.2018,75704,71.0,12.33,Electricity,Summer tires,0,1,0,Normal,13.1,0,0,67.0,-3.700000000000001,
Volkswagen,Golf,e-Golf,85,11.10.2018,75633,101.0,10.86,Electricity,Summer tires,0,1,0,Normal,13.8,0,1,78.0,-3.0,
Volkswagen,Golf,e-Golf,85,10.10.2018,75532,75.0,15.69,Electricity,Summer tires,0,1,0,Normal,14.0,0,0,58.0,-2.8000000000000007,
